Construct-candidate nodes: 144

ID                        TAGS                                               NAME
7701(e)(3)(A)(i)          ['container_intro']                                Sec7701_e_3_A_i
7701(e)(4)                ['container_bare', 'scope_rule']                   ParagraphApplyCertainCases
7701(e)(4)(A)             ['container_intro']                                QualifiedSolidWasteDisposalFacility
7701(e)(4)(B)             ['container_intro', 'scope_def']                   SpecialRulesApplicationSubparagraphRespectCertainRightsAllocationsUnderContract
7701(e)(4)(C)             ['container_bare']                                 SpecialRulesApplicationSubparagraphCaseCertainEvents
7701(e)(5)                ['container_intro']                                ExceptionCertainLowIncomeHousing
7701(f)                   ['container_intro']                                UseRelatedPersonsPassThruEntities
7701(h)                   ['container_bare', 'scope_rule']                   MotorVehicleOperatingLeases
7701(h)(1)                ['container_intro', 'scope_def']                   Sec7701_h_1
7701(h)(2)                ['container_intro', 'scope_def', 'scope_rule']     QualifiedMotorVehicleOperatingAgreementDefined
7701(h)(2)(B)             ['container_intro']                                MinimumLiabilityLessor
7701(h)(2)(C)             ['container_intro']                                CertificationLesseeNoticeTaxOwnership
7701(h)(3)                ['container_bare', 'scope_rule']                   TerminalRentalAdjustmentClauseDefined
7701(i)                   ['container_bare']                                 TaxableMortgagePools
7701(i)(2)                ['container_intro', 'scope_def', 'scope_rule']     TaxableMortgagePoolDefined
7701(i)(2)(A)             ['container_intro']                                Sec7701_i_2_A
7701(i)(3)                ['container_intro']                                TreatmentCertainReitS
7701(j)                   ['container_bare', 'scope_rule']                   TaxTreatmentFederalThriftSavingsFund
7701(j)(1)                ['container_intro', 'scope_def']                   Sec7701_j_1
7701(k)                   ['container_intro']                                TreatmentCertainAmountsPaidCharity
7701(o)                   ['container_bare']                                 ClarificationEconomicSubstanceDoctrine
7701(o)(1)                ['container_intro']                                ApplicationDoctrine
7701(o)(2)                ['container_bare', 'scope_rule']                   SpecialRuleTaxpayerReliesOnProfitPotential
7701(o)(5)                ['container_intro', 'scope_def']                   DefinitionsSpecialRules
7701(p)                   ['container_bare']                                 CrossReferences
